img_id_A,img_id_B,target
0359a,0359b,1
0577a,0577b,1
0577a,0577c,1
1120a,1120b,1
1120a,1120c,1
1120b,1120c,1
1121a,1121b,1
1121a,1121c,1
1121b,1121c,1
1229b,1229c,1
1302a,1302b,1
1302a,1302c,1
1302b,1302c,1
1305a,1305b,1
1305a,1305c,1
1305b,1305c,1
1386a,1386b,1
1386a,1386c,1
1386b,1386c,1
1391c,1391b,1
1391c,1391a,1
1489a,1489b,1
1489a,1489c,1
1489b,1489c,1
1517a,1517b,1
1517a,1517c,1
1517b,1517c,1
0331b,0331a,1
0367a,0367b,1
0367a,0367c,1
0367b,0367c,1
0379b,0379c,1
0458a,0458c,1
0458a,0458b,1
0565a,0565b,1
0565a,0565c,1
0565b,0565c,1
1254c,1254a,1
1254c,1254b,1
1362a,1362b,1
1362a,1362c,1
1362b,1362c,1
1446a,1446b,1
1446a,1446c,1
1446b,1446c,1
1454b,1454c,1
1454b,1454a,1
1454c,1454a,1
1455a,1455b,1
1455a,1455c,1
1455b,1455c,1
1510b,1510c,1
1510b,1510a,1
1510c,1510a,1
1534b,1534c,1
1534b,1534a,1
1540b,1540c,1
1300a,1300b,1
1300a,1300c,1
1300b,1300c,1
1309a,1309b,1
1309a,1309c,1
1453a,1453b,1
1453a,1453c,1
1453b,1453c,1
1482b,1482a,1
1518c,1518a,1
1543a,1543b,1
1543a,1543c,1
0584a,0584b,1
0584a,0584c,1
0584b,0584c,1
1127a,1127b,1
1127a,1127c,1
1127b,1127c,1
1284a,1284b,1
1284a,1284c,1
1360b,1360a,1
1360b,1360c,1
1364b,1364c,1
1364b,1364a,1
1490c,1490b,1
1491a,1491b,1
1491a,1491c,1
1491b,1491c,1
0321c,0321a,1
0321c,0321b,1
0451a,0451b,1
0451a,0451c,1
0503a,0503b,1
0561a,0561b,1
0571b,0571a,1
0571b,0571c,1
0600a,0600b,1
0600a,0600c,1
0600b,0600c,1
1137a,1137b,1
1137a,1137c,1
1230a,1230c,1
1230a,1230b,1
1230c,1230b,1
1248a,1248b,1
1248a,1248c,1
1248b,1248c,1
1335a,1335b,1
1335a,1335c,1
1378b,1378c,1
1378b,1378a,1
1378c,1378a,1
1432c,1432a,1
1432c,1432b,1
1481a,1481b,1
1481a,1481c,1
1481b,1481c,1
1487a,1487c,1
1512b,1512c,1
1565a,1565b,1
1565a,1565c,1
0338b,0338a,1
0338b,0338c,1
0422a,0422b,1
0422a,0422c,1
0422b,0422c,1
0472b,0472a,1
0472b,0472c,1
1227a,1227b,1
1382c,1382b,1
1382c,1382a,1
1445a,1445b,1
1445a,1445c,1
1445b,1445c,1
1486a,1486b,1
1545a,1545b,1
1545a,1545c,1
1545b,1545c,1
1282b,1282c,1
1289a,1289b,1
1289a,1289c,1
1289b,1289c,1
1565b,1565c,1
0552a,0552b,1
0552a,0552c,1
0552b,0552c,1
1307a,1307b,1
1492a,1492b,1
1492a,1492c,1
1492b,1492c,1
0366a,0366b,1
0434b,0434c,1
0434b,0434a,1
0496f,0496c,1
0496f,0496d,1
0496f,0496a,1
0496f,0496e,1
1382b,1382a,1
1416b,1416a,1
1416b,1416c,1
0374b,0374c,1
0374b,0374a,1
0544b,0544a,1
0544b,0544c,1
0579a,0579c,1
1320a,1320b,1
1320a,1320c,1
1320b,1320c,1
1334a,1334c,1
1370a,1370b,1
1370a,1370c,1
1370b,1370c,1
1426b,1426c,1
1426b,1426a,1
1463a,1463b,1
1463a,1463c,1
1463b,1463c,1
1468a,1468b,1
1468a,1468c,1
1483a,1483b,1
1483a,1483c,1
1483b,1483c,1
1488a,1488c,1
1488a,1488b,1
1488c,1488b,1
1534c,1534a,1
0491b,0491c,1
0491b,0491a,1
1119a,1119b,1
1119a,1119c,1
1119b,1119c,1
1129c,1129a,1
1129c,1129b,1
1344a,1344b,1
1344a,1344c,1
1344b,1344c,1
1516a,1516b,1
0306a,0306b,1
1309b,1309c,1
1458a,1458b,1
1458a,1458c,1
1458b,1458c,1
0414a,0414b,1
0414a,0414c,1
0414b,0414c,1
0539a,0539b,1
0539a,0539c,1
0539b,0539c,1
0576c,0576b,1
1137b,1137c,1
1164c,1164a,1
1164c,1164b,1
1180a,1180b,1
1180a,1180c,1
1375b,1375c,1
1375b,1375a,1
1375c,1375a,1
0333b,0333c,1
0333b,0333a,1
0381a,0381b,1
0381a,0381c,1
0411c,0411b,1
0411c,0411a,1
1352b,1352c,1
1352b,1352a,1
1352c,1352a,1
1393a,1393b,1
1393a,1393c,1
1393b,1393c,1
1394a,1394c,1
1394a,1394b,1
0351c,0351a,1
0351c,0351b,1
0424a,0424c,1
0496c,0496d,1
0496c,0496a,1
0496c,0496e,1
0496d,0496a,1
0496d,0496e,1
1257b,1257c,1
1257b,1257a,1
1257c,1257a,1
1447a,1447b,1
1447a,1447c,1
0458c,0458b,1
1284b,1284c,1
0477a,0477b,1
1180b,1180c,1
1442a,1442b,1
1442a,1442c,1
1531b,1531c,1
1531b,1531a,1
0536a,0536b,1
0560c,0560a,1
0560c,0560b,1
1153a,1153b,1
1153a,1153c,1
1402a,1402b,1
1417c,1417b,1
1417c,1417a,1
1520a,1520c,1
1521a,1521c,1
1521a,1521b,1
1543b,1543c,1
0597c,0597b,1
0597c,0597a,1
0355c,0355a,1
0355c,0355b,1
0374c,0374a,1
0396c,0396b,1
0550a,0550b,1
0550a,0550c,1
1366a,1366b,1
1366a,1366c,1
1366b,1366c,1
1413a,1413b,1
1413a,1413c,1
1413b,1413c,1
0307a,0307b,1
0307a,0307c,1
0363c,0363b,1
0363c,0363a,1
1176b,1176a,1
1255a,1255b,1
1255a,1255c,1
1255b,1255c,1
1234a,1234b,1
1234a,1234c,1
1236a,1236c,1
1236a,1236b,1
1149a,1149b,1
1149a,1149c,1
1149b,1149c,1
1416a,1416c,1
0491c,0491a,1
1134a,1134b,1
1134a,1134c,1
1144b,1144c,1
1424a,1424b,1
1424a,1424c,1
1424b,1424c,1
1471b,1471c,1
0307b,0307c,1
0569c,0569a,1
0569c,0569b,1
0472a,0472c,1
1268a,1268b,1
1268a,1268c,1
1268b,1268c,1
1433a,1433b,1
1433a,1433c,1
1433b,1433c,1
1129a,1129b,1
1131a,1131b,1
1252a,1252b,1
1252a,1252c,1
1252b,1252c,1
1329a,1329b,1
1329a,1329c,1
1364c,1364a,1
1531c,1531a,1
1494a,1494b,1
1494a,1494c,1
1494b,1494c,1
1498a,1498b,1
0335a,0335b,1
0335a,0335c,1
0335b,0335c,1
0349a,0349b,1
0314b,0314c,1
0314b,0314a,1
1152b,1152a,1
1152b,1152c,1
1329b,1329c,1
1330a,1330b,1
1330a,1330c,1
1330b,1330c,1
1451a,1451c,1
1451a,1451b,1
1236c,1236b,1
0461a,0461b,1
1361b,1361a,1
0432a,0432c,1
0544a,0544c,1
0592b,0592c,1
0593a,0593b,1
0593a,0593c,1
1134b,1134c,1
1432a,1432b,1
0537a,0537b,1
0537a,0537c,1
1303c,1303a,1
1303c,1303b,1
0550b,0550c,1
1460a,1460b,1
1231a,1231b,1
1231a,1231c,1
1231b,1231c,1
0350b,0350c,1
0350b,0350a,1
1219a,1219b,1
1219a,1219c,1
0531a,0531b,1
0531a,0531c,1
0531b,0531c,1
1448a,1448b,1
1448a,1448c,1
1448b,1448c,1
1554a,1554b,1
1554a,1554c,1
1554b,1554c,1
0381b,0381c,1
0411b,0411a,1
0562a,0562c,1
0570c,0570a,1
0577b,0577c,1
1181a,1181b,1
1181a,1181c,1
1260a,1260b,1
1260a,1260c,1
1260b,1260c,1
1341a,1341b,1
1341a,1341c,1
1341b,1341c,1
1343a,1343b,1
1343a,1343c,1
1343b,1343c,1
1475a,1475b,1
1475a,1475c,1
1476a,1476c,1
0316b,0316a,1
1411a,1411b,1
1411a,1411c,1
1411b,1411c,1
1468b,1468c,1
0375a,0375c,1
0375a,0375b,1
1451c,1451b,1
0489c,0489b,1
0489c,0489a,1
1219b,1219c,1
1090c,1090a,1
1237a,1237b,1
1237a,1237c,1
1237b,1237c,1
1365c,1365a,1
1365c,1365b,1
0365a,0365b,1
0365a,0365c,1
1336a,1336b,1
1336a,1336c,1
1336b,1336c,1
0336a,0336c,1
0338a,0338c,1
0301a,0301b,1
0301a,0301c,1
1441a,1441b,1
1441a,1441c,1
1441b,1441c,1
1444a,1444b,1
1513b,1513a,1
1513b,1513c,1
0372a,0372b,1
1267c,1267a,1
1267c,1267b,1
1475b,1475c,1
1222c,1222a,1
1429b,1429c,1
1429b,1429a,1
1429c,1429a,1
1461b,1461c,1
1461b,1461a,1
1461c,1461a,1
0896a,0896c,1
0318c,0318b,1
0365b,0365c,1
0334a,0334b,1
