,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,target
0,1,0,1,0,2,2,1,4,2,1,1,1,2,2,3,0,0,2,1
1,1,0,1,0,2,2,1,4,2,3,1,1,4,0,2,0,1,2,1
2,1,0,1,0,2,2,1,4,2,2,0,1,1,0,2,1,1,1,0
3,1,1,1,2,2,3,0,0,2,3,1,1,4,0,2,0,1,2,1
4,1,1,1,2,2,3,0,0,2,2,0,1,1,0,2,1,1,1,0
5,3,1,1,4,0,2,0,1,2,2,0,1,1,0,2,1,1,1,0
6,2,0,1,1,0,2,1,1,1,2,2,2,4,3,3,3,4,2,1
7,2,0,1,1,0,2,1,1,1,3,1,0,2,2,3,0,3,2,1
8,2,0,1,1,0,2,1,1,1,2,1,1,1,2,0,1,2,2,0
9,2,2,2,4,3,3,3,4,2,3,1,0,2,2,3,0,3,2,1
10,2,2,2,4,3,3,3,4,2,2,1,1,1,2,0,1,2,2,0
11,3,1,0,2,2,3,0,3,2,2,1,1,1,2,0,1,2,2,0
12,2,1,1,1,2,0,1,2,2,3,1,1,2,2,2,0,1,2,0
13,3,1,1,2,2,2,0,1,2,2,1,0,2,2,2,0,2,2,1
14,3,1,1,2,2,2,0,1,2,2,0,1,3,2,2,0,4,2,0
15,2,1,0,2,2,2,0,2,2,2,0,1,3,2,2,0,4,2,0
16,2,0,1,3,2,2,0,4,2,3,0,1,0,2,2,1,2,2,1
17,2,0,1,3,2,2,0,4,2,1,1,1,1,2,2,2,3,2,1
18,2,0,1,3,2,2,0,4,2,1,2,1,1,2,1,3,3,2,0
19,3,0,1,0,2,2,1,2,2,1,1,1,1,2,2,2,3,2,1
20,3,0,1,0,2,2,1,2,2,1,2,1,1,2,1,3,3,2,0
21,1,1,1,1,2,2,2,3,2,1,2,1,1,2,1,3,3,2,0
22,1,2,1,1,2,1,3,3,2,0,0,1,0,0,2,2,1,1,1
23,1,2,1,1,2,1,3,3,2,1,1,0,1,2,2,2,4,2,0
24,0,0,1,0,0,2,2,1,1,1,1,0,1,2,2,2,4,2,0
25,1,1,0,1,2,2,2,4,2,2,1,0,2,2,2,0,0,2,0
26,2,1,0,2,2,2,0,0,2,0,1,1,3,2,2,1,1,1,1
27,2,1,0,2,2,2,0,0,2,1,1,1,0,2,1,2,1,1,0
28,0,1,1,3,2,2,1,1,1,1,1,1,0,2,1,2,1,1,0
29,1,1,1,0,2,1,2,1,1,0,0,1,0,2,2,0,2,2,1
30,1,1,1,0,2,1,2,1,1,1,1,1,3,2,0,0,0,2,1
31,1,1,1,0,2,1,2,1,1,2,4,0,2,2,3,0,3,2,0
32,0,0,1,0,2,2,0,2,2,1,1,1,3,2,0,0,0,2,1
33,0,0,1,0,2,2,0,2,2,2,4,0,2,2,3,0,3,2,0
34,1,1,1,3,2,0,0,0,2,2,4,0,2,2,3,0,3,2,0
35,2,4,0,2,2,3,0,3,2,2,1,0,2,2,1,1,3,2,1
36,2,4,0,2,2,3,0,3,2,2,1,2,3,2,3,1,2,2,0
37,2,1,0,2,2,1,1,3,2,2,1,2,3,2,3,1,2,2,0
38,2,1,2,3,2,3,1,2,2,2,1,1,3,2,2,2,4,2,1
39,2,1,2,3,2,3,1,2,2,1,1,0,2,0,1,1,2,1,0
40,2,1,1,3,2,2,2,4,2,1,1,0,2,0,1,1,2,1,0
41,1,1,0,2,0,1,1,2,1,0,4,0,0,0,2,2,3,2,1
42,1,1,0,2,0,1,1,2,1,0,0,0,2,2,3,1,3,2,1
43,1,1,0,2,0,1,1,2,1,1,2,1,0,0,2,0,0,2,0
44,0,4,0,0,0,2,2,3,2,0,0,0,2,2,3,1,3,2,1
45,0,4,0,0,0,2,2,3,2,1,2,1,0,0,2,0,0,2,0
46,0,0,0,2,2,3,1,3,2,1,2,1,0,0,2,0,0,2,0
47,1,2,1,0,0,2,0,0,2,3,2,1,3,2,2,0,4,2,1
48,1,2,1,0,0,2,0,0,2,2,4,1,0,2,3,1,2,2,0
49,3,2,1,3,2,2,0,4,2,2,4,1,0,2,3,1,2,2,0
50,2,4,1,0,2,3,1,2,2,1,1,1,1,2,3,0,2,1,1
51,2,4,1,0,2,3,1,2,2,2,0,0,0,2,2,0,2,2,1
52,2,4,1,0,2,3,1,2,2,2,1,1,3,2,1,1,2,1,0
53,1,1,1,1,2,3,0,2,1,2,0,0,0,2,2,0,2,2,1
54,1,1,1,1,2,3,0,2,1,2,1,1,3,2,1,1,2,1,0
55,2,0,0,0,2,2,0,2,2,2,1,1,3,2,1,1,2,1,0
56,2,1,1,3,2,1,1,2,1,3,2,1,3,2,2,1,4,2,1
57,2,1,1,3,2,1,1,2,1,2,1,1,2,2,2,0,2,2,1
58,2,1,1,3,2,1,1,2,1,1,1,1,3,1,2,0,1,2,0
59,3,2,1,3,2,2,1,4,2,2,1,1,2,2,2,0,2,2,1
60,3,2,1,3,2,2,1,4,2,1,1,1,3,1,2,0,1,2,0
61,2,1,1,2,2,2,0,2,2,1,1,1,3,1,2,0,1,2,0
62,1,1,1,3,1,2,0,1,2,3,4,2,4,2,2,3,2,2,0
63,3,4,2,4,2,2,3,2,2,3,0,0,1,0,3,1,1,1,1
64,3,4,2,4,2,2,3,2,2,1,0,1,1,0,1,0,0,1,1
65,3,4,2,4,2,2,3,2,2,0,2,1,0,1,2,1,3,2,0
66,3,0,0,1,0,3,1,1,1,1,0,1,1,0,1,0,0,1,1
67,3,0,0,1,0,3,1,1,1,0,2,1,0,1,2,1,3,2,0
68,1,0,1,1,0,1,0,0,1,0,2,1,0,1,2,1,3,2,0
69,0,2,1,0,1,2,1,3,2,0,1,1,3,0,2,1,1,1,1
70,0,2,1,0,1,2,1,3,2,1,1,0,4,2,2,0,3,2,1
71,0,2,1,0,1,2,1,3,2,3,1,1,1,2,0,0,4,2,0
72,0,1,1,3,0,2,1,1,1,1,1,0,4,2,2,0,3,2,1
73,0,1,1,3,0,2,1,1,1,3,1,1,1,2,0,0,4,2,0
74,1,1,0,4,2,2,0,3,2,3,1,1,1,2,0,0,4,2,0
75,3,1,1,1,2,0,0,4,2,0,1,1,1,1,2,0,3,2,1
76,3,1,1,1,2,0,0,4,2,1,1,1,1,2,1,1,2,1,1
77,3,1,1,1,2,0,0,4,2,3,1,0,2,2,3,0,2,2,0
78,0,1,1,1,1,2,0,3,2,1,1,1,1,2,1,1,2,1,1
79,0,1,1,1,1,2,0,3,2,3,1,0,2,2,3,0,2,2,0
80,1,1,1,1,2,1,1,2,1,3,1,0,2,2,3,0,2,2,0
81,3,1,0,2,2,3,0,2,2,0,2,1,1,2,3,0,3,2,1
82,3,1,0,2,2,3,0,2,2,1,0,1,1,2,2,2,1,1,0
83,0,2,1,1,2,3,0,3,2,1,0,1,1,2,2,2,1,1,0
84,1,0,1,1,2,2,2,1,1,3,1,0,0,2,2,3,2,2,0
85,3,1,0,0,2,2,3,2,2,3,1,1,0,2,2,0,0,2,1
