,f0,f1,f2,f3,f4,f5,f6,f7,f8,target
0,0,-1,0,-2,0,-1,1,4,0,1
1,-2,-1,0,-4,2,0,1,3,0,1
2,-1,0,0,-1,2,0,0,3,1,0
3,-2,0,0,-2,2,1,0,-1,0,1
4,-1,1,0,1,2,1,-1,-1,1,0
5,1,1,0,3,0,0,-1,0,1,0
6,0,-2,-1,-3,-3,-1,-2,-3,-1,1
7,-1,-1,1,-1,-2,-1,1,-2,-1,1
8,0,-1,0,0,-2,2,0,-1,-1,0
9,-1,1,2,2,1,0,3,1,0,1
10,0,1,1,3,1,3,2,2,0,0
11,1,0,-1,1,0,3,-1,1,0,0
12,-1,0,0,-1,0,-2,1,1,0,0
13,1,0,1,0,0,0,0,-1,0,1
14,1,1,0,-1,0,0,0,-3,0,0
15,0,1,-1,-1,0,0,0,-2,0,0
16,-1,0,0,3,0,0,-1,2,0,1
17,1,-1,0,2,0,0,-2,1,0,1
18,1,-2,0,2,0,1,-3,1,0,0
19,2,-1,0,-1,0,0,-1,-1,0,1
20,2,-2,0,-1,0,1,-2,-1,0,0
21,0,-1,0,0,0,1,-1,0,0,0
22,1,2,0,1,2,-1,1,2,1,1
23,0,1,1,0,0,-1,1,-1,0,0
24,-1,-1,1,-1,-2,0,0,-3,-1,0
25,-1,0,0,-1,0,0,2,4,0,0
26,2,0,-1,-1,0,0,-1,-1,1,1
27,1,0,-1,2,0,1,-2,-1,1,0
28,-1,0,0,3,0,1,-1,0,0,0
29,1,1,0,0,0,-1,2,-1,-1,1
30,0,0,0,-3,0,1,2,1,-1,1
31,-1,-3,1,-2,0,-2,2,-2,-1,0
32,-1,-1,0,-3,0,2,0,2,0,1
33,-2,-4,1,-2,0,-1,0,-1,0,0
34,-1,-3,1,1,0,-3,0,-3,0,0
35,0,3,0,0,0,2,-1,0,0,1
36,0,3,-2,-1,0,0,-1,1,0,0
37,0,0,-2,-1,0,-2,0,1,0,0
38,0,0,1,0,0,1,-1,-2,0,1
39,1,0,2,1,2,2,0,0,1,0
40,1,0,1,1,2,1,1,2,1,0
41,1,-3,0,2,0,-1,-1,-1,-1,1
42,1,1,0,0,-2,-2,0,-1,-1,1
43,0,-1,-1,2,0,-1,1,2,-1,0
44,0,4,0,-2,-2,-1,1,0,0,1
45,-1,2,-1,0,0,0,2,3,0,0
46,-1,-2,-1,2,2,1,1,3,0,0
47,-2,0,0,-3,-2,0,0,-4,0,1
48,-1,-2,0,0,-2,-1,-1,-2,0,0
49,1,-2,0,3,0,-1,-1,2,0,0
50,1,3,0,-1,0,0,1,0,1,1
51,0,4,1,0,0,1,1,0,0,1
52,0,3,0,-3,0,2,0,0,1,0
53,-1,1,1,1,0,1,0,0,-1,1
54,-1,0,0,-2,0,2,-1,0,0,0
55,0,-1,-1,-3,0,1,-1,0,1,0
56,-1,-1,0,0,0,-1,0,-2,-1,1
57,0,0,0,1,0,-1,1,0,-1,1
58,1,0,0,0,1,-1,1,1,-1,0
59,1,1,0,1,0,0,1,2,0,1
60,2,1,0,0,1,0,1,3,0,0
61,1,0,0,-1,1,0,0,1,0,0
62,-2,-3,-1,-1,-1,0,-3,-1,0,0
63,0,4,2,3,2,-1,2,1,1,1
64,2,4,1,3,2,1,3,2,1,1
65,3,2,1,4,1,0,2,-1,0,0
66,2,0,-1,0,0,2,1,1,0,1
