img_id_A,img_id_B,target
0359a,0577a,0
0359a,1120a,0
0359a,1120b,0
0359a,1120c,0
0359a,1121a,0
0359a,1121b,0
0359a,1121c,0
0359a,1229b,0
0359a,1302a,0
0359a,1302b,0
0359a,1302c,0
0359a,1305a,0
0359a,1305b,0
0359a,1305c,0
0359a,1386a,0
0359a,1386b,0
0359a,1386c,0
0359a,1391c,0
0359a,1489a,0
0359a,1489b,0
0359a,1517a,0
0359a,1517b,0
0359a,0331b,0
0359a,0367a,0
0359a,0367b,0
0359a,0367c,0
0359a,0379b,0
0359a,0458a,0
0359a,0565a,0
0359a,0565b,0
0359a,0565c,0
0359a,1254c,0
0359a,1362a,0
0359a,1362b,0
0359a,1446a,0
0359a,1446b,0
0359a,1446c,0
0359a,1454b,0
0359a,1454c,0
0359a,1455a,0
0359a,1455b,0
0359a,1455c,0
0359a,1510b,0
0359a,1510c,0
0359a,1534b,0
0359a,1540b,0
0359a,1300a,0
0359a,1300b,0
0359a,1300c,0
0359a,1309a,0
0359a,1453a,0
0359a,1453b,0
0359a,1453c,0
0359a,1482b,0
0359a,1518c,0
0359a,1543a,0
0359a,0584a,0
0359a,0584b,0
0359a,0584c,0
0359a,1127a,0
0359a,1127b,0
0359a,1127c,0
0359a,1274a,0
0359a,1284a,0
0359a,1360b,0
0359a,1364b,0
0359a,1490c,0
0359a,1491a,0
0359a,1491b,0
0359a,0321c,0
0359a,0451a,0
0359a,0503a,0
0359a,0503b,0
0359a,0561a,0
0359a,0561b,0
0359a,0571b,0
0359a,0600a,0
0359a,0600b,0
0359a,0600c,0
0359a,1137a,0
0359a,1230a,0
0359a,1230c,0
0359a,1248a,0
0359a,1248b,0
0359a,1248c,0
0359a,1335a,0
0359a,1378b,0
0359a,1378c,0
0359a,1432c,0
0359a,1481a,0
0359a,1481b,0
0359a,1481c,0
0359a,1487a,0
0359a,1512b,0
0359a,1512c,0
0359a,1528c,0
0359a,1565a,0
0359a,0338b,0
0359a,0422a,0
0359a,0422b,0
0359a,0422c,0
0359a,0472b,0
0359a,1227a,0
0359a,1382c,0
0359a,1445a,0
0359a,1445b,0
0359a,1445c,0
0359a,1486a,0
0359a,1510a,0
0359a,1545a,0
0359a,1545b,0
0359a,1545c,0
0359a,0379c,0
0359a,1282b,0
0359a,1289a,0
0359a,1289b,0
0359a,1289c,0
0359a,1452b,0
0359a,1565b,0
0359a,1565c,0
0359a,0552a,0
0359a,0552b,0
0359a,0552c,0
0359a,1261b,0
0359a,1307a,0
0359a,1362c,0
0359a,1491c,0
0359a,1492a,0
0359a,1492b,0
0359a,1492c,0
0359a,0366a,0
0359a,0434b,0
0359a,0496f,0
0359a,1382b,0
0359a,1416b,0
0359a,1518a,0
0359a,0374b,0
0359a,0544b,0
0359a,0579a,0
0359a,1320a,0
0359a,1320b,0
0359a,1320c,0
0359a,1334a,0
0359a,1370a,0
0359a,1370b,0
